"ref_num","name","link","posted_on"
"QDi.291","IBRAHIM HASSAN TALI AL-ASIRI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ibrahim-hassan-tali-al-asiri","24 March 2011"
"QDi.292","OTHMAN AHMED OTHMAN AL-GHAMDI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/othman-ahmed-othman-al-ghamdi","16 June 2011"
"QDi.293","ABDUL RAHIM BA’ASYIR","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-rahim-ba%E2%80%99asyir","19 July 2011"
"QDi.294","UMAR PATEK","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/umar-patek","19 July 2011"
"QDi.295","MUHAMMAD JIBRIL ABDUL RAHMAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/muhammad-jibril-abdul-rahman","12 August 2011"
"QDi.296","MATI UR-REHMAN ALI MUHAMMAD","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mati-ur-rehman-ali-muhammad","22 August 2011"
"QDi.298","ABD AL-RAHMAN OULD MUHAMMAD AL-HUSAYN OULD MUHAMMAD SALIM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abd-al-rahman-ould-muhammad-al-husayn-ould","15 September 2011"
"QDi.299","IBRAHIM AWWAD IBRAHIM ALI AL-BADRI AL-SAMARRAI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ibrahim-awwad-ibrahim-ali-al-badri-al-samarrai","05 October 2011"
"QDi.300","MONIR CHOUKA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/monir-chouka","25 January 2012"
"QDi.301","YASSIN CHOUKA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/yassin-chouka","25 January 2012"
"QDi.303","FAZAL RAHIM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/fazal-rahim","06 March 2012"
"QDi.304","MOCHAMMAD ACHWAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mochammad-achwan","12 March 2012"
