ref_num,name,link,posted_on
QDe.129,AL-QAIDA IN THE ARABIAN PENINSULA (AQAP),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-qaida-in-the-arabian-peninsula-%28aqap%29,19-Jan-10
QDe.130,HARAKAT-UL JIHAD ISLAMI,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/harakat-ul-jihad-islami,6-Aug-10
QDe.131,EMARAT KAVKAZ,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/emarat-kavkaz,29-Jul-11
QDe.132,TEHRIK-E TALIBAN PAKISTAN (TTP),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/tehrik-e-taliban-pakistan-%28ttp%29,29-Jul-11
QDe.133,JEMMAH ANSHORUT TAUHID (JAT),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jemmah-anshorut-tauhid,12-Mar-12
QDe.134,MOUVEMENT POUR L’UNIFICATION ET LE JIHAD EN AFRIQUE DE L’OUEST (MUJAO),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/mouvement-pour-l%E2%80%99unification-et-le-jihad-en,5-Dec-12
QDe.135,ANSAR EDDINE,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansar-eddine,20-Mar-13
QDe.136,MUHAMMAD JAMAL NETWORK (MJN),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/muhammad-jamal-network-%28mjn%29,21-Oct-13
QDe.137,AL-NUSRAH FRONT FOR THE PEOPLE OF THE LEVANT,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-nusrah-front-for-the-people-of-the-levant,14-May-14
QDe.138,JAMA'ATU AHLIS-SUNNA LIDDA'AWATI WAL-JIHAD (BOKO HARAM),https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jama%27atu-ahlis-sunna-lidda%27awati-wal-jihad-%28boko,22-May-14
QDe.139,AL MOUAKAOUNE BIDDAM,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-mouakaoune-biddam,2-Jun-14
QDe.140,AL MOULATHAMOUN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-moulathamoun,2-Jun-14
QDe.141,AL MOURABITOUN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-mourabitoun,2-Jun-14
QDe.142,ANSARUL MUSLIMINA FI BILADIS-SUDAN,https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/ansarul-muslimina-fi-biladis-sudan,26-Jun-14
