"web_page","ref_num","name","link","posted_on"
"03-","QDe.156","JUND AL AQSA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/jund-al-aqsa","20 July 2017"
"03-","QDe.157","AL-KAWTHAR MONEY EXCHANGE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/al-kawthar-money-exchange","06 March 2018"
"03-","QDe.158","KHATIBA IMAM AL-BUKHARI (KIB)","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/entity/khatiba-imam-al-bukhari-%28kib%29","29 March 2018"
"03-","QDe.159","Jama'a Nusrat ul-Islam wa al-Muslimin (JNIM)","https://www.un.org/securitycouncil/content/jamaa-nusrat-ul-islam-wa-al-muslimin-jnim","04 October 2018"
"03-","QDe.160","Tariq Gidar Group (TGG)","https://www.un.org/securitycouncil/content/tariq-gidar-group-tgg","22 March 2019"
"03-","QDe.161","The Islamic State of Iraq and the Levant - Khorasan (ISIL - K)","https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-khorasan-isil-k","14 May 2019"
"03-","QDe.162","Islamic State West Africa Province (ISWAP)","https://www.un.org/securitycouncil/content/islamic-state-west-africa-province-iswap-0","23 February 2020"
"03-","QDe.163","ISLAMIC STATE IN THE GREATER SAHARA (ISGS)","https://www.un.org/securitycouncil/content/islamic-state-greater-sahara-isgs","23 February 2020"
"03-","QDe.164","Jamaah Ansharut Daulah","https://www.un.org/securitycouncil/content/jamaah-ansharut-daulah","04 March 2020"
"03-","QDe.165","Islamic State in Iraq and the Levant - Libya","https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-libya","04 March 2020"
"03-","QDe.166","Islamic State in Iraq and the Levant - Yemen","https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-yemen","04 March 2020"
"03-","QDe.167","Jund al-Khilafah in Tunisia","https://www.un.org/securitycouncil/content/jund-al-khilafah-tunisia","30 December 2021"
"03-","QDe.168","KHATIBA AL-TAWHID WAL-JIHAD (KTJ)","https://www.un.org/securitycouncil/content/khatiba-al-tawhid-wal-jihad-ktj","07 March 2022"
"03-","QDe.169","Islamic State In Iraq And the Levant In South-East Asia (ISIL-SEA, ISIL-South East Asia)","https://www.un.org/securitycouncil/content/islamic-state-iraq-and-levant-south-east-asia-isil-sea-isil-south-east-asia","27 January 2023"
"03-","QDi.001","MOHAMMED SALAHALDIN AND EL HALIM ZIDANE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/sayf-al-adl","07 September 2010"
"04-","QDi.002","AMIN MUHAMMAD UL HAQ SAAM KHAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/amin-muhammad-ul-haq-saam-khan","10 January 2011"
"04-","QDi.003","SALIM AHMAD SALIM HAMDAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/salim-ahmad-salim-hamdan","07 September 2010"
"04-","QDi.006","AIMAN MUHAMMED RABI AL-ZAWAHIRI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/aiman-muhammed-rabi-al-zawahiri","10 January 2011"
"04-","QDi.009","BILAL BIN MARWAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/bilal-bin-marwan","28 March 2011"
"04-","QDi.012","NASHWAN ABD AL-RAZZAQ ABD AL-BAQI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/nashwan-abd-al-razzaq-abd-al-baqi","10 January 2011"
"04-","QDi.014","TARIQ ANWAR EL SAYED AHMED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tariq-anwar-el-sayed-ahmed","28 March 2011"
"04-","QDi.015","MAHFOUZ OULD AL-WALID","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mahfouz-ould-al-walid","08 July 2009"
"04-","QDi.017","THARWAT SALAH SHIHATA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tharwat-salah-shihata","10 January 2011"
"04-","QDi.018","ABDUL MANAN AGHA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-manan-agha","10 January 2011"
"04-","QDi.019","ABDULLAH AHMED ABDULLAH EL ALFI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdullah-ahmed-abdullah-el-alfi","10 January 2011"
"04-","QDi.020","MOHAMMAD HAMDI MOHAMMAD SADIQ AL-AHDAL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammad-hamdi-mohammad-sadiq-al-ahdal","10 January 2011"
"04-","QDi.028","AHMED KHALFAN GHAILANI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ahmed-khalfan-ghailani","07 September 2010"
"04-","QDi.029","RI’AD MUHAMMAD HASAN MUHAMMAD HIJAZI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ri%E2%80%99ad-muhammad-hasan-muhammad-hijazi","07 September 2010"
"04-","QDi.031","OMAR MAHMOUD UTHMAN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/omar-mahmoud-uthman","09 March 2009"
"04-","QDi.037","ABDUL RAHMAN YASIN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdul-rahman-yasin","07 September 2010"
"04-","QDi.042","HASSAN DAHIR AWEYS","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/hassan-dahir-aweys","28 March 2011"
"04-","QDi.054","MAJEED ABDUL CHAUDHRY","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/majeed-abdul-chaudhry","07 September 2010"
"04-","QDi.055","MAHMOOD SULTAN BASHIR-UD-DIN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mahmood-sultan-bashir-ud-din","07 September 2010"
"04-","QDi.056","MOHAMMED TUFAIL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohammed-tufail","07 September 2010"
"04-","QDi.057","IBRAHIM ALI ABU BAKR TANTOUSH","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/ibrahim-ali-abu-bakr-tantoush","28 March 2011"
"04-","QDi.058","BOUBEKEUR BOULGHITI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abu-bakr-al-jaziri","08 July 2009"
"04-","QDi.059","KHALID ABD AL-RAHMAN HAMD AL-FAWAZ","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/khalid-abd-al-rahman-hamd-al-fawaz","19 November 2010"
"04-","QDi.060","MOHAMED BEN BELGACEM BEN ABDALLAH AL-AOUADI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohamed-ben-belgacem-ben-abdallah-al-aouadi","04 January 2011"
"04-","QDi.062","MOHAMED LAKHAL","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mohamed-lakhal","04 January 2011"
"04-","QDi.064","SAMI BEN KHAMIS BEN SALEH ELSSEID","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/sami-ben-khamis-ben-saleh-elsseid","04 January 2011"
"04-","QDi.065","ABD EL KADER MAHMOUD MOHAMED EL SAYED","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abd-el-kader-mahmoud-mohamed-el-sayed","28 March 2011"
"04-","QDi.067","MOSTAFA KAMEL MOSTAFA IBRAHIM","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mostafa-kamel-mostafa-ibrahim","19 November 2010"
"04-","QDi.068","ADEL BEN AL-AZHAR BEN YOUSSEF HAMDI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/adel-ben-al-azhar-ben-youssef-hamdi","04 January 2011"
"04-","QDi.070","YASSINE CHEKKOURI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/yassine-chekkouri","04 January 2011"
"04-","QDi.072","MEHDI BEN MOHAMED BEN MOHAMED KAMMOUN","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/mehdi-ben-mohamed-ben-mohamed-kammoun","04 January 2011"
"05-","QDi.074","TAREK BEN HABIB BEN AL-TOUMI AL-MAAROUFI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/tarek-ben-habib-ben-al-toumi-al-maaroufi","04 January 2011"
"05-","QDi.075","ABDELHALIM HAFED ABDELFATTAH REMADNA","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/abdelhalim-hafed-abdelfattah-remadna","24 November 2009"
"05-","QDi.076","ISAM ALI MOHAMED ALOUCHE","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/isam-ali-mohamed-alouche","04 January 2011"
"05-","QDi.080","SAID BAHAJI","https://www.un.org/securitycouncil/sanctions/1267/aq_sanctions_list/summaries/individual/said-bahaji","16 September 2009"
